idx,transcript,audio length,filename
67,i have been a nice to,1.877375,1249120_43453425_100609046.wav
68,i i i the donati with a seal,3.84,1249120_44027675_98634024.wav
69,i see like i can hardly be under i get work and my long so,5.8026875,1249120_35444693_35918864.wav
70,i appened to le latin ou school my sister said that she made several blankets to cover her soul that she is bad and a,11.008,1249120_44093933_101193593.wav
71,so i my seatmate,2.8160000000000003,1249120_44027675_33464746.wav
72,i have a galliant my stone it get the rose of the ,5.12,1249120_44142156_58942979.wav
73,i've been too taniera came on with a cold,4.6933750000000005,1249120_42554554_107572673.wav
74,i had an accident and no one was open when i arrived asked better,3.925375,1249120_40401830_61993958.wav
75,but i'm doing sport i have been under my skin,5.0346875,1249120_33905644_82425628.wav
76,my grandmother last year went to hospital because she was having a hard time breathing,5.461375,1249120_43951421_28583102.wav
77,i have a great stomach and can eat anything,3.3280000000000003,1249120_14353703_32651672.wav
78,i have a fantom my right to do my skin is justice,8.080562500000001,1249120_43577102_33518582.wav
79,i have been in my care and my poet like something attingit,6.997375,1249120_43665783_101335721.wav
80,i have a hard muffle pain since i went to the gym,3.669375,1249120_19425875_97135079.wav
81,when i stand up i feel like i'm going to fall down instantly,4.7786875,1249120_6338946_50763375.wav
82,my body and inside between my happenless,5.12,1249120_43855932_49386781.wav
83,i had rest on this in,2.389375,1249120_42210938_96056089.wav
84,i can't carry anything i have a pain in my shoulder,4.352,1249120_43620482_83629897.wav
85,i ,2.4746875,1249120_21665495_16985833.wav
86,there not for her in my beloved in the morning,4.6080000000000005,1249120_33905644_94104768.wav
87,he was discovered to have an open,4.096,1249120_21665495_68519089.wav
88,mine is hurting so badly,2.176,1249120_43825820_90943169.wav
89,when i raise my hand i feel pain in my shoulder,4.352,1249120_40571337_77261096.wav
90,my god is where every one i am cause,5.1084375,1249120_30937687_58106978.wav
91,my ear is ringing,3.072,1249120_33905644_45700723.wav
92,as the shop ben admit call,2.9013750000000003,1249120_44084500_59938602.wav
93,and not good and feeling so cold,2.6935625,1249120_28006404_99580586.wav
94,i haven't the head to see red sinister,5.7585625,1249120_40725179_91828193.wav
95,i think dead from thing wrong with me on it delusion to her like and so,8.021375,1249120_40184183_41359731.wav
96,i can't work my nets,3.072,1249120_42554554_56872888.wav
97,so don't and heavy riding,2.9866875,1249120_39154234_42036631.wav
98,i feel cold treleaven though my clothes are heavy,3.157375,1249120_41841195_75369794.wav
99,when he was a diedalian i do of my foot,6.5706875,1249120_43172391_101132142.wav
100,my niece i concluded randy days,5.0346875,1249120_43918153_25031936.wav
101,my right lurton like when i move my arm,4.551125,1249120_43788827_40813209.wav
102,you make it to tote,2.133375,1249120_43995026_60737608.wav
103,when i eat i feel my stomach hurt,3.925375,1249120_43883861_19361580.wav
104,it terminates my time,3.2426875,1249120_36505751_46522727.wav
105,after her a lot of fine mouth hard,3.2426875,1249120_35832653_99218935.wav
106,i usually have a bad cough when i get flow,5.1084375,1249120_22345789_61447933.wav
107,i see him to,2.9721875,1249120_40725179_32470003.wav
108,i couldn't stop shaking or unclenched or that whole called i was,5.8026875,1249120_43855932_84387434.wav
109,i i lithely,2.2186875,1249120_41087148_83155366.wav
110,i have tried to relieve it but i can't,4.6080000000000005,1249120_38548574_20338153.wav
111,when i get up i feel give and far down,4.7786875,1249120_43883861_79136556.wav
112,there is pain in the muslin i do not know can,4.365375,1249120_44140394_42550429.wav
113,i had ample them patches along with a lot of redness on my face,5.5466875,1249120_15004831_85268007.wav
114,if meaning of eingeleitet,2.389375,1249120_41336418_88353836.wav
115,i have an ear ache when showering,4.2666875,1249120_38042052_49136980.wav
116,i couldn't see it any acenheiro and among his car being an open,7.2446875,1249120_43577102_29848441.wav
117,why i am did i feel my head all,3.4986875,1249120_44142156_42260785.wav
118,i all we see a lit i like very volinine for i found the wife have my dead,9.045375,1249120_41087148_27536390.wav
119,my heart is beating cross and therefore,4.224,1249120_27392644_90841863.wav
120,but just a me breaks out and never cease up,3.3280000000000003,1249120_40401830_76496788.wav
121,i had to go there words his deer but we do not elliesland was an burn,7.0826875000000005,1249120_39154234_24973493.wav
122,i felt something her me in taking breath and i can't take my brat,4.437375,1249120_14353703_26349751.wav
123,i feel pain in my heart when i wake up,3.157375,1249120_35832653_76402989.wav
124,it fused like my heart is going to leave out of my body it hurts,6.0586875,1249120_33905644_13469742.wav
125,when i get out of bed in the morning my body feels very weak,5.0346875,1249120_44093933_30756753.wav
126,i see this something to sit my ma in de seem to him like a curse,6.8266875,1249120_43698316_83095930.wav
127,i am not good i felt dizzy,3.925375,1249120_35154350_28252964.wav
128,being the larger,2.2186875,1249120_40184183_99108689.wav
129,as leniently,2.322,1249120_35448024_59152411.wav
130,my heart is beating fast and it is carson,3.669375,1249120_39154234_27691303.wav
131,i was in a ,4.096,1249120_43105396_20764053.wav
132,i have pain but i can't specified place,3.4365625,1249120_28006404_106725649.wav
133,my head is beneath the idea,3.2426875,1249120_35170334_19302996.wav
134,the tellinidae lestourville living is,7.167999999999999,1249120_40571337_41381025.wav
135,i have eruptions on my face that coming to,3.84,1249120_42082009_34924289.wav
136,i can't stand with this horrible feeling in my stomach,3.6266875,1249120_43825820_25793996.wav
137,his likening stickney grant,4.2666875,1249120_41336418_93234685.wav
138,i can't stop often,3.4986875,1249120_36505751_74469696.wav
139,but this not he in that and it will legislate,4.2666875,1249120_41150153_16982845.wav
140,i noticed an important decrees in my vision when i try to look at things up close,8.080562500000001,1249120_29672643_28118177.wav
141,i broke my ankle will do in rock climbing in the curtains,6.3146875,1249120_36505751_62916331.wav
142,i can't ride my car at night because i am blurry vision,3.808125,1249120_44140394_44613817.wav
143,land and we go answered i come,3.84,1249120_33251186_32355828.wav
144,steer lieutenant,3.925375,1249120_35444693_63168659.wav
145,i have a dry skin,3.2426875,1249120_35154350_74303326.wav
146,i have tried to release it but i can't,6.485375,1249120_42783052_79304073.wav
147,this long scar on my left buttock is from falling off my mountain like,6.0586875,1249120_43883861_73616982.wav
148,i've seen with dried to come up when i got,6.0586875,1249120_40184183_70006614.wav
149,i am off for a dentist and i heard before,4.6080000000000005,1249120_40663048_58789260.wav
150,my net earth when i woke,2.7306875,1249120_41221824_89002742.wav
151,feel like something is being jabbed into my joints,3.4365625,1249120_1853182_20504574.wav
152,when i was a omaha it was fairly on a heavily,5.5466875,1249120_33251186_79405442.wav
153,it is hard to breathe when i am in the underground that you station why,5.2941875000000005,1249120_17632529_92291246.wav
154,i felt it matters to verdi area,5.5466875,1249120_43719934_22444850.wav
155,even to aminadab my face keep speaking out and bill,5.4799375,1249120_43612961_48882619.wav
156,i see sack,2.6935625,1249120_43794413_19014819.wav
157,i may have had an iterative ting because i'm afraid i may have torn a morsel on my book,7.936,1249120_43855932_104456935.wav
158,i do like guy can hardly be one i get to larceny long or,7.5946875,1249120_41087148_48207230.wav
159,my neck for me and i can't stand with this pay,3.993875,1249120_30766630_51050536.wav
160,i have great benimaclet tom being then with recommit tendrils,5.888,1249120_39154234_101344557.wav
161,why need be quick and give were to other day at the top of the stall luckily there was a rail to more on to,11.79575,1249120_39142299_102067900.wav
162,it's hard for any man on,2.496,1249120_27392644_92472837.wav
163,my stomach an when i eat hot food wine,3.808125,1249120_44140394_104674160.wav
164,i be extant and far torpentine second my neat,6.6560000000000015,1249120_44142156_16464884.wav
165,we who are in fenianism,5.1084375,1249120_40725179_64417126.wav
166,a gun all my nichome,4.736875,1249120_43794413_55566973.wav
167,and a sharrington,2.9721875,1249120_40017708_70290260.wav
168,i think i sprain my ankle it really hurts,3.4986875,1249120_43402738_67816873.wav
169,it had fronted santon scope,2.2186875,1249120_40401830_69968826.wav
170,my daughter had her eyebrows thread and it sullen opening the skin in one of her brows that his now puffy and toting,7.2446875,1249120_2171654_61725470.wav
171,i can't stand it this horible preliminaries,4.096,1249120_36505751_38291328.wav
172,i had slowly i,3.4986875,1249120_33251186_109536681.wav
173,this long scar on my left buttock is from falling off my mountain byke,5.12,1249120_38202325_85052531.wav
174,i get brick out on my chest with red but his target more in terms when i get out,6.3146875,1249120_41221824_70399750.wav
175,very open to create from my chest up to my left arm,5.7173750000000005,1249120_41221824_68542464.wav
176,i can't walk well i have an ache in my foot,3.5839999999999996,1249120_43316708_74478833.wav
177,a few like the rules being,2.6006875000000003,1249120_28006404_48209850.wav
178,i have some men men i am hating at all lies,4.437375,1249120_44093933_81838916.wav
179,my neck is annoying me by conley cause of it,4.365375,1249120_40419625_92628596.wav
180,i feel like the room is finer,3.4133750000000003,1249120_33251186_16887915.wav
181,i think i overdid it when i carried out that lumber under a man lower back is getting me,8.6186875,1249120_41221824_67451204.wav
182,feeling no been sae early sticking my long,5.632000000000001,1249120_43172391_88347770.wav
183,i donating to see,3.669375,1249120_44023395_15238672.wav
184,i have marked pain at my left leg,2.6935625,1249120_28006404_70616833.wav
185,the ever tinsome i see,2.9013750000000003,1249120_21665495_42313586.wav
186,i ain't one to let my body hates me and i,4.352,1249120_42557795_61812571.wav
187,my face is all broken out with them both,4.0106875,1249120_43402738_46743968.wav
188,one time i take depasta of,4.352,1249120_43857865_78146911.wav
189,i break out on a face very frequently,3.5839999999999996,1249120_35350617_30276969.wav
190,my heart is beating fast i did curse,4.437375,1249120_40184183_70158602.wav
191,surgical wound infections,3.2426875,1249120_38202325_80151210.wav
192,no i feel like a collar not to me shoulderblade with by an shoulder tom,6.6560000000000015,1249120_33251186_99807825.wav
193,my back got injured while i was in at the gym,3.2508125,1249120_1853182_75011889.wav
194,my hair is falling out in bunches,3.7546875,1249120_33905644_48563137.wav
195,i can walk well i have an ache in my foot,3.4365625,1249120_35448024_27274280.wav
196,i m not to feel in court i centration or,5.12,1249120_42554554_18887827.wav
197,in the morning my respiration is loud,3.5839999999999996,1249120_43698316_43698203.wav
198,i have found some means in my scientist listen but did tenure bitter,5.632000000000001,1249120_43898158_20901086.wav
199,in the anderoon,3.3280000000000003,1249120_42557795_86205352.wav
200,after a pain in my waterbag,3.072,1249120_35832653_51185456.wav
201,i was traveling by ship and i feel dizzy,3.7546875,1249120_19425875_108893551.wav
202,when i play football i have muscle pen,3.7546875,1249120_39740177_30950193.wav
203,malleville right on end like as we sail with an egg,3.4986875,1249120_38548574_21360760.wav
204,the last time i clipped my toe nails i cut them to sharp and now i have an infected nail,11.888625,1249120_29672643_103877483.wav
205,i have a scab on the back of my hand that just one guy,5.888,1249120_43402738_86837324.wav
206,i have a pain internal,3.157375,1249120_18172663_47339407.wav
207,i had for me after unintimate with my romance,6.997375,1249120_43172391_29514686.wav
208,i feel pain in sight i do not know what it is,3.1146875,1249120_43825820_64955471.wav
209,when i brushed my hair i notice big clumps of hair coming out in the british,6.7413750000000014,1249120_35154350_51189453.wav
210,my knees is selling reinehard anterior,5.205375,1249120_41087148_107682506.wav
211,what into hollandtide,5.888,1249120_41956733_63393673.wav
212,i have evolved for benavente,3.3436875,1249120_43577102_73102650.wav
213,i have a pain in my hat,2.048,1249120_40401830_53642190.wav
214,my face brick out badly of me around my cycle,5.461375,1249120_39438102_25426304.wav
215,i have that dress that is put on my skin,5.2941875000000005,1249120_35448024_26685626.wav
216,i have the impression of having no strength in my body,5.376,1249120_43856216_94400559.wav
217,when i win in the morning i mean nelly,6.315875,1249120_29672643_10522271.wav
218,i seen fanny my back,2.56,1249120_40184183_107115591.wav
219,i see cold in this even though my clover had,4.2666875,1249120_21665495_108390616.wav
220,my television and computer she mountaous even though i have no glasses,6.485375,1249120_35154350_99073348.wav
221,i got a new when i ate showy,2.9866875,1249120_19425875_39082711.wav
222,i read up work for eluding and when exeicise here,6.6560000000000015,1249120_33251186_78284954.wav
223,i know my poor engelhard,2.7306875,1249120_39154234_21589448.wav
224,i er animi had recovered,3.925375,1249120_43105396_97406490.wav
225,there is pain in the muscles i do not know cause,3.4986875,1249120_43825820_92518529.wav
226,the wound is still open,2.048,1249120_27392644_60092505.wav
227,i simply asking disease,3.072,1249120_43698316_45973843.wav
228,my heart hurts me,3.4133750000000003,1249120_35154350_80152109.wav
229,i have a investigating and hiring,4.949375,1249120_44101988_96931564.wav
230,that is a inanition in my hand,3.2426875,1249120_44111844_64471902.wav
231,my nee hurting so readily,3.84,1249120_36214391_82087339.wav
232,when if my son do perfidie,2.56,1249120_18985376_26805534.wav
233,i can do anything at the lowing thing my wife,3.7546875,1249120_21665495_84890117.wav
234,i am in all my born on beginning a new tenor,3.925375,1249120_41150153_81340324.wav
235,my foot had been aching since last thursday,3.5839999999999996,1249120_43316708_29067450.wav
236,i feel headache,2.133375,1249120_35350617_98366622.wav
237,i have some terrible problems when i'm breathing during the night,4.6933750000000005,1249120_43402738_81493210.wav
238,by vorarbeiten my beneficiary,3.4365625,1249120_35448024_19183141.wav
239,my at earth's whenever i try to do some thing,4.0106875,1249120_41221824_104911257.wav
240,i feel a burning sensation in my shoulder muscle,3.2508125,1249120_1853182_100689643.wav
241,he ,2.048,1249120_44023395_16910627.wav
242,i have cut my finger because of playing football and i have to wait any leaf clean but it does not help,8.192,1249120_15004831_21919890.wav
243,my halloeing montanari hanamerin,3.5839999999999996,1249120_41150153_26529048.wav
244,an not bluebook i had some burning senses and in my spine,4.6080000000000005,1249120_39154234_68844285.wav
245,it feels like some one stuck a knife into my shoulder,5.7173750000000005,1249120_38042052_19842459.wav
246,i think i overdid it when i carried all that lumber from the yard my lower back is killing me,5.888,1249120_43825820_31649758.wav
247,every time i looked to left i feel a sharp pain in my neck,4.181375,1249120_38202325_52726093.wav
248,i have a pain in my stomach,2.7306875,1249120_15830408_29803997.wav
249,i have a hare shot it,2.9013750000000003,1249120_43951421_50424363.wav
250,i can't stand up i feel my brain is moving and side my scull,4.6506875,1249120_43825820_44998707.wav
251,he santimonious morning,3.925375,1249120_41087148_56105550.wav
252,i have for pink off with axes me castinets nicolai,4.2666875,1249120_41336418_40068542.wav
253,after lines i heard of mandarin cross my neck,5.7173750000000005,1249120_44111844_11838655.wav
254,my hand hers whenever i tried to do something,4.437375,1249120_39438102_103396351.wav
255,i think soroimashita,3.669375,1249120_36505751_26743418.wav
256,i feel pain in my neck while i'm working,2.8793125,1249120_1853182_104613772.wav
257,so i can eviction,2.645375,1249120_21665495_23667490.wav
258,eating looks like being in esmay,2.56,1249120_43898158_61505083.wav
259,if you like i can to a deep breath,2.9866875,1249120_43620482_46995790.wav
260,i feel pain in my neck,2.645375,1249120_36929821_73076924.wav
261,i see the man,2.645375,1249120_44101988_104764529.wav
262,i felt dizzy after doing a muscular effort,3.4986875,1249120_15004831_92499879.wav
263,ride as swelling and difficulty walking,4.181375,1249120_19425875_53324279.wav
264,what i get out of bed in the morning my body pingaree,6.40875,1249120_39142299_64540325.wav
265,my mind is as sad as if it hurt the late man here a full and when i think about the madeira is sadness,12.032,1249120_42557795_64117254.wav
266,by a plea for but i have dined pain,3.4346875,1249120_27392644_108937880.wav
267,there is a red stain in my skin,3.925375,1249120_29289135_55391065.wav
268,i'm feeling told that the temperature is high,4.352,1249120_29289135_90663066.wav
269,i been inside and at the northern divide,2.9013750000000003,1249120_43898158_89839809.wav
270,when i played foot ball i dislocated my shoulder,3.157375,1249120_18172663_30567709.wav
271,even though i am an agin my pace keeps making out in timbers,5.2906875,1249120_35197064_70291778.wav
272,can't keep folks,2.229125,1249120_43612961_17641909.wav
273,my hair is so her recanting norman,3.925375,1249120_43604449_76372744.wav
274,there is barkingside not know cost,3.4133750000000003,1249120_41221824_25970038.wav
275,manchester me breaks out never clear how,4.0106875,1249120_43755034_48178645.wav
276,i feel she like a piece my sister say that she needs several blankets to cover her so that she is warm either,13.397375,1249120_41956733_33531797.wav
277,i fell a burnin sensation and my shoulder much,3.925375,1249120_35832653_72492635.wav
278,i feel like the rome spinning,4.181375,1249120_38042052_105460432.wav
279,wherein he is washing my hair it was falling out heavily,5.888,1249120_38042052_65721257.wav
280,i have tried to really fit when i can't,3.157375,1249120_35408915_64227109.wav
281,i often get a stomach ache after i eat i haven't been able to pin point which food might be the trigger,6.3146875,1249120_38202325_62654255.wav
282,i gone or till i have some and acting my pore,4.864,1249120_41087148_80182057.wav
283,the last time my clintonia sub them to fold and now i have any sect,6.485375,1249120_21665495_55843557.wav
284,my wound was infected when i was planting some flowers in my garden,5.1084375,1249120_17632529_69017104.wav
285,i was dying not with an ammonia i can't breathe easily,5.2941875000000005,1249120_22345789_47209477.wav
286,i must see torturingly i was did not with incendiary,6.4,1249120_44101988_25457287.wav
287,i can't see the sin i have been near mason,3.84,1249120_38548574_14279966.wav
288,there is being really for much as up to a,3.2426875,1249120_38548574_27777565.wav
289,when i awakened the morning i see strange and have vertigo,5.205375,1249120_43698316_18502702.wav
290,the night get out of her bed in the morning my body feels very weak,6.485375,1249120_33905644_26635652.wav
291,i have tried to make my case on my foot but they still pain me,5.2906875,1249120_36929821_11877392.wav
292,my stomach cakes after i drink any so i drink why,4.352,1249120_18985376_42800481.wav
293,there is swelling in my neck and it hurts,4.096,1249120_43856216_55218273.wav
294,i have a great pain in my collection mingling with relaxing my bein relief,4.6080000000000005,1249120_43995026_21703764.wav
295,my head had been doing this,2.8160000000000003,1249120_40401830_109257172.wav
296,early near me in my life i have tried to win me regret what it does not help,13.0960625,1249120_29672643_97390986.wav
297,we imitate and be,4.0106875,1249120_44142156_33811848.wav
298,a bell sharpman in my ankle joint on a stand,3.4986875,1249120_38548574_79792314.wav
299,i am having a heart i'm here in,1.877375,1249120_43995026_81789483.wav
300,i can't really jump on my left foot because my triple fracture of the ankle left me with never ending pain,7.0826875000000005,1249120_18172663_31792388.wav
301,i have a smith on my son that will not have,4.096,1249120_43918153_60951031.wav
302,i have a foot ached although i don't walk along,5.5466875,1249120_43883861_38601173.wav
303,my head hurts whenever i tried to do something,3.3436875,1249120_44140394_71450584.wav
304,i am not real is within ten iii here in my head,4.949375,1249120_43604449_54912353.wav
305,my heart heard fani exercise,3.925375,1249120_15004831_77275003.wav
306,when i bent orientating pan down my back,4.365375,1249120_40419625_62286277.wav
307,i cannot get warm no matter in much i rap or how high i would the eating on,7.8506875,1249120_33905644_11683431.wav
308,i have a bright and as skin and so on of my nostrils to has become affected and is now filled with pus,8.021375,1249120_13842059_55129614.wav
309,i know not a lot of analysis not a man literary tomatas,5.7173750000000005,1249120_44091626_14837156.wav
310,i peeped in my yard with didn't need does,4.644,1249120_43788827_75633884.wav
311,every woollen in his hollas,4.949375,1249120_35444693_89634788.wav
312,oh i do like roof good at an on a down,5.0346875,1249120_41087148_13842202.wav
313,and now my tenantry for,3.84,1249120_42557795_97628322.wav
314,i ended to that was his fish together egidio here he dispensed the repentant,9.728,1249120_40184183_40397387.wav
315,my head is folding all in use among,3.072,1249120_40184183_51205515.wav
316,i have cloud yes,3.4133750000000003,1249120_38042052_91178776.wav
317,cried one as he at the level of the double of the lower estimate,6.0586875,1249120_43918153_95446108.wav
318,i need a kind of green which make my muscle more relaxed,5.461375,1249120_43758322_69557343.wav
319,i have been in mister matt,2.9013750000000003,1249120_43350908_20458444.wav
320,i have throbbing in my shoulder,2.8160000000000003,1249120_35832653_46854438.wav
321,a man body is in a bad case and i need a good treatment,5.8514375,1249120_43577102_41407241.wav
322,my joints set sullen,1.877375,1249120_42210938_109733504.wav
323,i have a cat that is red and swollen,3.84,1249120_33905644_32833189.wav
324,the acne was closing me to feel them bare,3.7546875,1249120_36929821_59841321.wav
325,i fell through a window well i was cleaning it and i have a sort of glass stuck in my left eye i think it is pretty serious please help,9.6595625,1249120_30766630_24887084.wav
326,i have no right that won't go away i don't have a cold or headache or any other symptoms just in yarak,7.167999999999999,1249120_36929821_102533609.wav
327,ned is cats my skin every minute,2.9013750000000003,1249120_43350908_78514889.wav
328,i see a very weak in my body,4.2725,1249120_41203338_46015538.wav
329,i have an etonian rode,3.4133750000000003,1249120_44111844_87514143.wav
330,what for a horse in the assertion are,7.4239999999999995,1249120_43105396_46635527.wav
331,i feel congestion in my chest,2.8160000000000003,1249120_18985376_106851099.wav
332,my skin is itching,3.5839999999999996,1249120_35154350_74284558.wav
333,i really like an ice cup my sister said that she need several blankets took out her for that she is omenous,8.8746875,1249120_36505751_34140486.wav
334,when i stand up i feel like i'm going to fall down instantly,4.08675,1249120_44140394_85671528.wav
335,are you an indication,2.13625,1249120_20518958_102076059.wav
336,my scheme it arose,3.4133750000000003,1249120_43665783_73659620.wav
337,i am always call em when i am verily,4.6933750000000005,1249120_33251186_109819666.wav
338,all deinoteron ministerin you mean,6.0586875,1249120_42557795_43160696.wav
339,i have an internal pain i cannot describe,3.4133750000000003,1249120_31349958_97765614.wav
340,i have throbbing in my shoulder,2.8793125,1249120_41203338_36315776.wav
341,i feel pain in my shoulders when i ride on the keyboard,3.2426875,1249120_41841195_80324388.wav
342,i had an accident in my wound was open when i ride to hospital,4.6080000000000005,1249120_19425875_72618137.wav
343,the warming system of my house is berthed and feel so cold,5.1084375,1249120_2171654_58828948.wav
344,it feels like some one is sipping my head with the ham i see being on the top of my head and it throbs,8.448,1249120_43402738_105961199.wav
345,my foot hurt me a lot of playing football,3.3436875,1249120_34824899_48770561.wav
346,i do you know if you had it torn many curs anyone,7.2446875,1249120_39142299_78450663.wav
347,a few like a one to an accute practice and had a hundred needles in my shoulder,5.632000000000001,1249120_43620482_93162857.wav
348,against the apple he down i have a pain in my bed that a noise my,4.551125,1249120_28006404_71393746.wav
349,my hair is coming out in chunks pity when i wash it,4.179625,1249120_43612961_26249115.wav
350,and having a hard time reading because all the letters are frozen,4.5226875,1249120_35350617_61497270.wav
351,it ees ridin,1.536,1249120_41150153_35711219.wav
352,when i was young i had an injury from sports in my knee,3.5294375,1249120_1853182_104662580.wav
353,i have an issue with my skin,2.9866875,1249120_38202325_33582422.wav
354,mister is full enough set and rotting of the beni,4.864,1249120_39154234_24111668.wav
355,i feel something hurt me and taking brother i can't take my broth,4.6080000000000005,1249120_19425875_87638990.wav
356,martin has a lot of agni,1.877375,1249120_41336418_73492711.wav
357,i feel like i want to an accipitres practice and had to adrenaline shoulder,6.997375,1249120_13842059_42977059.wav
358,i feel like something disguising my lumps,3.5294375,1249120_35448024_78702299.wav
359,i have a rash at it it is very bad,4.096,1249120_43856216_56065266.wav
360,i don't want a pen my hus,2.4746875,1249120_35350617_79852662.wav
361,my body he weak and unfit me to laugh but still pains on,4.437375,1249120_35350617_73411857.wav
362,again stop going,3.1579375,1249120_43612961_101397712.wav
363,shall pain and heavy breathing,2.389375,1249120_43995026_33790463.wav
364,on a brush my hair i noticed big clumps of her coming out in the brush,5.12,1249120_13842059_19800134.wav
365,i have in like green not to finer don't buy goods at ten,8.533375,1249120_35444693_53152715.wav
366,i have got a a tintoret and i having at a tea,7.68,1249120_44142156_17288718.wav
